medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
partial nephrectomy,partial nephrectomy,Removing a part of a kidney or a kidney tumor without taking out the whole kidney.,1,0.93,1,Discharge Summary - Nephrology,"Left partial nephrectomy.,2.",,,
pathologist,pathologist,"A pathologist is a doctor who examines tissues, blood, and other fluids to identify and categorize diseases.",1,0.93,1,Discharge Summary - 7,"I spoke with the pathologist, Dr.",,,
pedal edema,pedal edema,Swollen feet.,1,0.93,1,Hip Surgery - Discharge Summar,"There is no pedal edema.,MENTAL STATUS: Alert and oriented x3, pleasant and cooperative during the exam.,LABORATORY DATA: , Initial workup included chemistry panel, which was unremarkable with the exception of a fasting glucose of 122 and an anion gap that was slightly decreased at 6.",,,
peg tube,PEG tube,A tube inserted through the abdomen into the stomach to feed patients who are unable to eat normally.,1,0.93,1,Multiple Medical Problems - Discharge Summary,"Ferrous sulfate drops 325 mg, PEG tube b.i.d.,10.",,,
penile,penile,It means something related to a man's private parts.,1,0.93,1,Discharge Summary - Nephrology,"Additionally, the patient underwent flexible cystoscopy, which revealed no gross strictures or any other abnormalities in the penile nor prostatic urethra.",,,
peptide,peptide,A peptide is a bunch of amino acids packed together in a molecule.,1,0.93,1,ER Report - Chest Pain & Fever,"Arthritis.,ADDITIONAL LABORATORY STUDIES:, B-natriuretic peptide was 26.",,,
perineum,perineum,The area between the private parts and the butt.,1,0.93,1,Neonatal Discharge Summary,Baby was suctioned on perineum with good support.,,,
peritoneum,peritoneum,The tissue that covers and holds organs in the stomach area.,1,0.93,1,BRCA-2 mutation,"The patient regained bowel function and was discharged on the morning of the fourth postoperative day.,OPERATIONS AND PROCEDURES: , Total abdominal hysterectomy/bilateral salpingo-oophorectomy with resection of ovarian fossa peritoneum en bloc on July 25, 2006.,PATHOLOGY: , A 105-gram uterus without dysplasia or cancer.,CONDITION ON DISCHARGE: , Stable.,PLAN: ,The patient will remain at rest initially with progressive ambulation after.",,,
ph,pH,A measure of how acidic a substance is.,1,0.93,1,Cardio/Pulmo Discharge Summary,"It was, therefore, felt that the patient was stable for further management on an outpatient basis.,DIAGNOSTIC DATA:, The patient’s admission laboratory data was notable for his initial blood gas, which showed a pH of 7.02 with a pCO2 of 118 and a pO2 of 103.",,,
physician assistant,physician assistant,A healthcare worker licensed to perform certain medical tasks under supervision of a physician.,1,0.93,1,Pneumonia & COPD - Discharge Summary,"Home health has been ordered and the case has been discussed in detail with Shaun Eagan, physician assistant at Eureka Community Health Center.",,,
physiology,physiology,Physiology is all about how living things work.,1,0.93,1,Death Summary,"Echocardiogram showed normal ejection fraction, normal left and right side, but stage 3 restrictive physiology.",,,
pitting edema,pitting edema,Swelling in the body that leaves an indention (pit) when pressed.,1,0.93,1,Discharge Summary - 19,"Pupils are equally reactive to light and accommodation.,BACK AND EXTREMITY: Bilateral pitting edema and peripheral pulses are palpable.",,,
placenta,placenta,A womb organ that provides nutrients to an unborn baby.,1,0.93,1,Intrauterine Pregnancy - Discharge Summary,"There was normal placenta, normal pelvic anatomy.",,,
placental,placental,An organ in the womb that provides nutrients to a developing baby.,1,0.93,1,Prematurity - Discharge Summary,"At the end of delivery, it was noted there was a partial placental abruptio.,HOSPITAL COURSE: ,The infant has had a basically uncomplicated hospital course.",,,
pleuritic,pleuritic,"It's a sharp chest pain that hurts more when you breathe, caused by inflammation around the lungs.",1,0.93,1,Discharge Summary - COPD,"The patient started on IV steroid, bronchodilator as well as antibiotics.,He also complained of chest pain that appears to be more pleuritic with history of coronary artery disease and orthopnea.",,,
pleurodesis,pleurodesis,A treatment that makes the two layers of lung lining stick together to stop fluid buildup.,1,0.93,1,Death Summary - 1,"Advanced non-small cell lung carcinoma with left malignant pleural effusion status post chest tube insertion status post chemical pleurodesis.,2.",,,
pneumocystis,pneumocystis,A lung infection caused by yeast.,1,0.93,1,Discharge Summary - 7,"The transbronchial biopsies did not show any evidence of pneumocystis, fungal infection, AFB.",,,
po2,pO2,"A measurement of how much oxygen is in your blood, showing how well your lungs are getting oxygen into your body.",1,0.93,1,Cardio/Pulmo Discharge Summary,"It was, therefore, felt that the patient was stable for further management on an outpatient basis.,DIAGNOSTIC DATA:, The patient’s admission laboratory data was notable for his initial blood gas, which showed a pH of 7.02 with a pCO2 of 118 and a pO2 of 103.",,,
polyp,polyp,A polyp is an abnormal growth that can develop on certain tissues.,1,0.93,1,GI Bleed - Discharge Summary,"Colonoscopy did reveal diverticulosis as well as polyp, which was resected.",,,
post angioplasty,post angioplasty,After the surgery to open a blocked blood vessel.,1,0.93,1,Discharge Summary - 9,"History of coronary artery disease, status post angioplasty and stent.,7.",,,
postmenopausal,postmenopausal,After menopause.,1,0.93,1,ER Report - Chest Pain & Fever,"She denies any rashes or skin lesions.,PAST MEDICAL HISTORY: ,Hypertension, diabetes, hyperlipidemia, particularly elevated triglycerides with a slightly elevated LDL at 81 with an new standard LDL of 74, diabetics with a bad family history for cardiovascular disease such as this patient does have, and postmenopausal hot flashes.,PAST SURGICAL HISTORY: ,Cholecystectomy, appendectomy, oophorectomy.,FAMILY HISTORY: , Positive for coronary artery disease in her father and brother in their 40s.,SOCIAL HISTORY: , She is married and does not smoke or drink nor did she ever.,PHYSICAL EXAMINATION: , On admission, temperature 99.4 degrees F., blood pressure 137/60, pulse 90 and regular without ectopy, respiratory rate 20 without unusual respiratory effort.",,,
postnasal drip,postnasal drip,Drainage from your nose running down your throat making you congested or cough.,1,0.93,1,Back Pain - Discharge Summary,"B, the patient's oncologist.,ALLERGIES: , PENICILLIN, AMOXICILLIN, CEPHALOSPORIN, DOXYCYCLINE, IVP DYE, IODINE, and SULFA, all cause HIVES.,Additionally, the patient reports that he has HIVES when he comes in contact with SAP FROM THE MANGO TREE, and therefore, he avoids any mango product at all.,PAST MEDICAL HISTORY: , Status post right orchiectomy secondary to his testicular cancer 18 years ago approximately 1989, GERD, irritable bowel syndrome, seasonal asthma (fall and spring) triggered by postnasal drip, history of bilateral carpal tunnel syndrome, and status post excision of abdominal teratoma and incisional hernia.,FAMILY HISTORY:, Noncontributory.,SOCIAL HISTORY: , The patient is employed in the finance department.",,,
pre,pre,Pre means before.,1,0.93,1,Discharge Summary - 14,"Finally, she did improve enough to the point where she could be discharged home.,DISCHARGE DIAGNOSIS: , Nausea and abdominal pain of uncertain etiology.,SECONDARY DIAGNOSIS: ,Migraine headache.,COMPLICATIONS: ,None.,DISCHARGE CONDITION: , Guarded.,DISCHARGE PLAN: ,Follow up with me in the office in 5 to 7 days to resume all pre-admission medications.",,,
preeclampsia,preeclampsia,"A serious condition that can occur during pregnancy, marked by high blood pressure and excess fluid retention.",1,0.93,1,Neonatal Discharge Summary - 1,She was evaluated for evolving preeclampsia and had a C-section secondary to the nonreassuring fetal status.,,,
premarin,Premarin,A medication for menopausal symptoms in women.,1,0.93,1,Lap Chole - Discharge Summary,"The patient also had Premarin that she was taking, advised to discontinue because of increased risk of heart disease and stroke explained to the patient.",,,
preoperative diagnosis,PREOPERATIVE DIAGNOSIS,The pre-surgery condition that needs to be treated.,1,0.93,1,Discharge Summary - Mesothelioma,"PREOPERATIVE DIAGNOSIS: , Right pleural mass.,POSTOPERATIVE DIAGNOSIS: , Mesothelioma.,PROCEDURES PERFORMED:,1.",,,
presumptive,presumptive,Having a solid reason to think that something is true.,1,0.93,1,Kawasaki Disease - Discharge Summary,"ADMITTING DIAGNOSIS: , Kawasaki disease.,DISCHARGE DIAGNOSIS:, Kawasaki disease, resolving.,HOSPITAL COURSE:, This is a 14-month-old baby boy Caucasian who came in with presumptive diagnosis of Kawasaki with fever for more than 5 days and conjunctivitis, mild arthritis with edema, rash, resolving and with elevated neutrophils and thrombocytosis, elevated CRP and ESR.",,,
pretracheal,pretracheal,In front of the windpipe.,1,0.93,1,Discharge Summary - Lymphoma,Further staging revealed borderline mediastinal pretracheal lymphadenopathy but was otherwise unremarkable.,,,
prn,PRN,When necessary.,1,0.93,1,Discharge Summary - 2,"Darvocet Darvocet-N 100, one q.4h PRN pain.,12.",,,
pronator,pronator,It's a muscle in your forearm that helps you turn your palm up.,1,0.93,1,Discharge Summary - Migraine,No pronator drift was appreciated.,,,
prophylactic,prophylactic,A prophylactic is like a protective shield that helps prevent diseases.,1,0.93,1,Leiomyosarcoma,"She underwent a CTA, which showed no evidence of pulmonary embolism and the patient was started on prophylactic doses of Lovenox at 40 mg a day.",,,
prostate cancer,Prostate cancer,A type of cancer that grows in the prostate gland in men.,1,0.93,1,CHF & Pleural Effusion - Discharge Summary,"Prostate cancer.,4.",,,
prostate gland,prostate gland,The prostate gland makes the liquid part of semen.,1,0.93,1,Discharge Summary - Urology,The patient had a cystoscopy and transurethral resection of prostate as well with entire resection of the prostate gland.,,,
prostatic urethra,prostatic urethra,The part of the tube that carries urine from the bladder through the prostate.,1,0.93,1,Discharge Summary - Nephrology,"Additionally, the patient underwent flexible cystoscopy, which revealed no gross strictures or any other abnormalities in the penile nor prostatic urethra.",,,
prosthetic,prosthetic,A prosthetic is a fake body part.,1,0.93,1,Death Summary,There was also prosthetic aortic valve.,,,
proteus mirabilis,Proteus mirabilis,A type of bacteria that can make you sick.,1,0.93,1,Discharge Summary - Lymphoma,"Both cultures eventually grew out Proteus mirabilis, which was pansensitive.",,,
prothrombin,Prothrombin,A protein that helps blood clot in the body.,1,0.93,1,Urology Discharge Summary,"Blood group was A, Rh positive, Hemoglobin 13, Hematocrit 32.1, Prothrombin time 12.6 seconds, PTT 37.1.",,,
provider,provider,A provider is someone who gives healthcare services.,1,0.93,1,Discharge Summary - Respiratory Distress,"QVAR 40, 2 puffs twice daily until otherwise instructed by the primary care provider.,3.",,,
pruritus,pruritus,Itching.,1,0.93,1,Pancreatic Mass - Discharge Summary,"for pruritus.,4.",,,
pseudocyst,pseudocyst,A pseudocyst is a fluid-filled cavity that acts like a cyst but doesn't have a proper wall or lining.,1,0.93,1,Pancreatic Mass - Discharge Summary,"The patient, additionally, had a questionable pseudocyst in the tail of the pancreas.",,,
psychiatrist,psychiatrist,A psychiatrist is a doctor who specializes in treating mental illnesses.,1,0.93,1,Discharge Summary - 18,"Also, discussed the situation with a psychiatrist who is available on Friday and I discussed the situation with the patient.",,,
psychologist,psychologist,A psychologist is a person who helps individuals and families by talking about emotions and personal issues to support positive changes.,1,0.93,1,Discharge Summary - Multiple Trauma,"The patient was followed throughout his entire stay with case management and discussions were made with them and the psychologist concerning the placement upon discharge to an acute alcohol rehab facility; however, the patient refused throughout this entire stay.",,,
