medical_term,plain_language_explanation,filtering_method
streptoccocal,A common type of bacteria that can lead to various infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
streptococcal,A common type of bacteria that can lead to various infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
streptococci,A type of bacteria that can make you sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
streptococci .,Streptococci are bacteria that can make you sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
streptococcus,A type of bacteria that sometimes causes infections and lives in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
streptococcus group b,These are bad bacteria that can make kids really sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
streptococcus pyogenes,"Streptococcus pyogenes is a harmful bacteria that can lead to skin, throat, and blood infections.",README-based filtered glossary with task-specific patient-facing relevance filtering
streptomycin,It's a medicine that fights bacterial infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
streptozocin,A drug that helps treat certain kinds of cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
stress,Feeling overwhelmed physically or emotionally due to pressure.,README-based filtered glossary with task-specific patient-facing relevance filtering
stress incontinence,Urine leaks out when pressure is put on the bladder and urethra during activities like exercising or coughing.,README-based filtered glossary with task-specific patient-facing relevance filtering
strictur,A strictur is like a little tunnel's pathway getting really squeezed and tight.,README-based filtered glossary with task-specific patient-facing relevance filtering
stricture,Stricture means a body tube that is abnormally narrowed.,README-based filtered glossary with task-specific patient-facing relevance filtering
strictures,A stricture is when a tube in the body becomes abnormally narrow.,README-based filtered glossary with task-specific patient-facing relevance filtering
stricturing,Stricturing is when a passage gets narrowed.,README-based filtered glossary with task-specific patient-facing relevance filtering
stridor,A whistling sound in the throat caused by a blockage in the windpipe.,README-based filtered glossary with task-specific patient-facing relevance filtering
stridors,Stridors are whistling or wheezing sounds in your throat caused by a blockage.,README-based filtered glossary with task-specific patient-facing relevance filtering
stroboscopy,A test that uses a flashing light to check the vocal cords and voice-box.,README-based filtered glossary with task-specific patient-facing relevance filtering
